name,remote_support,adaptive_support,description,Job level,length,test_type,url,combined_text
global skills development report,Yes,No,this report is designed to be given to individuals who have completed the global skills assessment gsa with coverage across the great 8 domains this measure of selfreported behaviors offers a complete overview of their current skills participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",,"['Ability & Aptitude', 'Assessment Exercises', 'Biodata & Situational Judgement', 'Competencies', 'Development & 360', 'Personality & Behavior']",https://www.shl.com/products/product-catalog/view/global-skills-development-report/,global skills development report this report is designed to be given to individuals who have completed the global skills assessment gsa with coverage across the great 8 domains this measure of selfreported behaviors offers a complete overview of their current skills participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills ability aptitude assessment exercises biodata situational judgement competencies development 360 personality behavior adaptive no remote yes
net framework 45,Yes,Yes,thenet framework 45 test measures knowledge of net environment designed for experienced users this test covers the following topics application development application foundation data modeling deployment diagnostics performance portability and security,"Professional Individual Contributor, Mid-Professional,",30.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-framework-4-5/,net framework 45 thenet framework 45 test measures knowledge of net environment designed for experienced users this test covers the following topics application development application foundation data modeling deployment diagnostics performance portability and security knowledge skills adaptive yes remote yes
net mvc new,Yes,No,multichoice test that measures the knowledge of modelviewcontroller mvc architecture validation security routing and areas,"Mid-Professional, Professional Individual Contributor,",17.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-mvc-new/,net mvc new multichoice test that measures the knowledge of modelviewcontroller mvc architecture validation security routing and areas knowledge skills adaptive no remote yes
net mvvm new,Yes,No,multichoice test that measures the knowledge of mvvm pattern scenarios data validation viewmodel communication and quickstart,"Mid-Professional, Professional Individual Contributor,",5.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-mvvm-new/,net mvvm new multichoice test that measures the knowledge of mvvm pattern scenarios data validation viewmodel communication and quickstart knowledge skills adaptive no remote yes
net wcf new,Yes,No,multichoice test that measures the knowledge of net fundamentals wcf architecture programming model soa managing and programming wcf,"Mid-Professional, Professional Individual Contributor,",11.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-wcf-new/,net wcf new multichoice test that measures the knowledge of net fundamentals wcf architecture programming model soa managing and programming wcf knowledge skills adaptive no remote yes
net wpf new,Yes,No,multichoice test that measures the knowledge of net basics wpf xaml controls events layouts working with wpf windowsmenus and deploying wpf applications,"Mid-Professional, Professional Individual Contributor,",9.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-wpf-new/,net wpf new multichoice test that measures the knowledge of net basics wpf xaml controls events layouts working with wpf windowsmenus and deploying wpf applications knowledge skills adaptive no remote yes
net xaml new,Yes,No,multichoice test that measures the knowledge of xaml triggers data binding custom controls and layouts,"Mid-Professional, Professional Individual Contributor,",5.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/net-xaml-new/,net xaml new multichoice test that measures the knowledge of xaml triggers data binding custom controls and layouts knowledge skills adaptive no remote yes
accounts payable new,Yes,No,multiplechoice test that measures the knowledge of processing payables and vendor invoices and the posting of journal entries,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",9.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/accounts-payable-new/,accounts payable new multiplechoice test that measures the knowledge of processing payables and vendor invoices and the posting of journal entries knowledge skills adaptive no remote yes
accounts payable simulation new,Yes,No,simulated data entry test that measures the ability to process payables and vendor invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",8.0,['Simulations'],https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,accounts payable simulation new simulated data entry test that measures the ability to process payables and vendor invoices simulations adaptive no remote yes
accounts receivable new,Yes,No,multiplechoice test that measures the knowledge of processing receivables and invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",13.0,['Knowledge & Skills'],https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,accounts receivable new multiplechoice test that measures the knowledge of processing receivables and invoices knowledge skills adaptive no remote yes
